Country Name,Country Code,Indicator Name,Value
Austria,AUT,All staff compensation as % of total expenditure in public institutions (%),68.86692047
Austria,AUT,All staff compensation as % of total expenditure in secondary public institutions (%),73.12284088
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 15+, female",3.82
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 15+, total",3.85
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 15-19, female",3.91
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 15-19, total",3.92
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 20-24, female",3.96
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 20-24, total",3.97
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 25+, female",3.81
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 25+, total",3.84
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 25-29, female",3.97
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 25-29, total",3.97
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 30-34, female",3.77
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 30-34, total",3.77
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 35-39, female",3.82
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 35-39, total",3.77
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 40-44, female",3.78
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 40-44, total",3.81
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 45-49, female",3.84
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 45-49, total",3.87
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 50-54, female",3.88
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 50-54, total",3.9
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 55-59, female",3.82
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 55-59, total",3.87
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 60-64, female",3.8
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 60-64, total",3.85
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 65-69, female",3.74
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 65-69, total",3.81
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 70-74, female",3.66
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 70-74, total",3.74
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 75+, female",3.65
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 75+, total",3.74
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 15+, female",4.65
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 15+, total",5.26
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 15-19, female",2.08
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 15-19, total",2.01
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 20-24, female",6.61
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 20-24, total",6.6
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 25+, female",4.73
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 25+, total",5.47
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 25-29, female",6.91
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 25-29, total",7.03
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 30-34, female",7.03
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 30-34, total",7.08
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 35-39, female",6.57
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 35-39, total",6.71
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 40-44, female",5.51
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 40-44, total",5.86
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 45-49, female",5.14
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 45-49, total",5.69
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 50-54, female",5.16
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 50-54, total",5.81
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 55-59, female",4.22
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 55-59, total",5.09
