,Indicator Name,Country Name,Country Code,Value
0,All staff compensation as % of total expenditure in public institutions (%),Austria,1,1
1,All staff compensation as % of total expenditure in public institutions (%),Belgium,1,1
2,All staff compensation as % of total expenditure in public institutions (%),Bulgaria,1,1
3,All staff compensation as % of total expenditure in public institutions (%),Denmark,1,1
4,All staff compensation as % of total expenditure in public institutions (%),Finland,1,1
5,All staff compensation as % of total expenditure in public institutions (%),France,1,1
6,All staff compensation as % of total expenditure in public institutions (%),Germany,1,1
7,All staff compensation as % of total expenditure in public institutions (%),Greece,1,1
8,All staff compensation as % of total expenditure in public institutions (%),Hungary,1,1
9,All staff compensation as % of total expenditure in public institutions (%),Ireland,1,1
10,All staff compensation as % of total expenditure in public institutions (%),Italy,1,1
11,All staff compensation as % of total expenditure in public institutions (%),Netherlands,1,1
12,All staff compensation as % of total expenditure in public institutions (%),Norway,1,1
13,All staff compensation as % of total expenditure in public institutions (%),Portugal,1,1
14,All staff compensation as % of total expenditure in public institutions (%),Spain,1,1
15,All staff compensation as % of total expenditure in public institutions (%),Sweden,1,1
16,All staff compensation as % of total expenditure in public institutions (%),Switzerland,1,1
17,All staff compensation as % of total expenditure in public institutions (%),United Kingdom,1,1
18,All staff compensation as % of total expenditure in secondary public institutions (%),Austria,1,1
19,All staff compensation as % of total expenditure in secondary public institutions (%),Belgium,1,1
20,All staff compensation as % of total expenditure in secondary public institutions (%),Bulgaria,1,1
21,All staff compensation as % of total expenditure in secondary public institutions (%),Denmark,1,1
22,All staff compensation as % of total expenditure in secondary public institutions (%),Finland,1,1
23,All staff compensation as % of total expenditure in secondary public institutions (%),France,1,1
24,All staff compensation as % of total expenditure in secondary public institutions (%),Germany,1,1
25,All staff compensation as % of total expenditure in secondary public institutions (%),Greece,1,1
26,All staff compensation as % of total expenditure in secondary public institutions (%),Hungary,1,1
27,All staff compensation as % of total expenditure in secondary public institutions (%),Ireland,1,1
28,All staff compensation as % of total expenditure in secondary public institutions (%),Italy,1,1
29,All staff compensation as % of total expenditure in secondary public institutions (%),Netherlands,1,1
30,All staff compensation as % of total expenditure in secondary public institutions (%),Norway,1,1
31,All staff compensation as % of total expenditure in secondary public institutions (%),Portugal,1,1
32,All staff compensation as % of total expenditure in secondary public institutions (%),Spain,1,1
33,All staff compensation as % of total expenditure in secondary public institutions (%),Sweden,1,1
34,All staff compensation as % of total expenditure in secondary public institutions (%),Switzerland,1,1
35,All staff compensation as % of total expenditure in secondary public institutions (%),United Kingdom,1,1
36,"Barro-Lee: Average years of primary schooling, age 15+, female",Austria,1,1
37,"Barro-Lee: Average years of primary schooling, age 15+, female",Belgium,1,1
38,"Barro-Lee: Average years of primary schooling, age 15+, female",Bulgaria,1,1
39,"Barro-Lee: Average years of primary schooling, age 15+, female",Denmark,1,1
40,"Barro-Lee: Average years of primary schooling, age 15+, female",Finland,1,1
41,"Barro-Lee: Average years of primary schooling, age 15+, female",France,1,1
42,"Barro-Lee: Average years of primary schooling, age 15+, female",Germany,1,1
43,"Barro-Lee: Average years of primary schooling, age 15+, female",Greece,1,1
44,"Barro-Lee: Average years of primary schooling, age 15+, female",Hungary,1,1
45,"Barro-Lee: Average years of primary schooling, age 15+, female",Ireland,1,1
46,"Barro-Lee: Average years of primary schooling, age 15+, female",Italy,1,1
47,"Barro-Lee: Average years of primary schooling, age 15+, female",Netherlands,1,1
48,"Barro-Lee: Average years of primary schooling, age 15+, female",Norway,1,1
49,"Barro-Lee: Average years of primary schooling, age 15+, female",Portugal,1,1
50,"Barro-Lee: Average years of primary schooling, age 15+, female",Spain,1,1
51,"Barro-Lee: Average years of primary schooling, age 15+, female",Sweden,1,1
52,"Barro-Lee: Average years of primary schooling, age 15+, female",Switzerland,1,1
53,"Barro-Lee: Average years of primary schooling, age 15+, female",United Kingdom,1,1
54,"Barro-Lee: Average years of primary schooling, age 15+, total",Austria,1,1
55,"Barro-Lee: Average years of primary schooling, age 15+, total",Belgium,1,1
56,"Barro-Lee: Average years of primary schooling, age 15+, total",Bulgaria,1,1
57,"Barro-Lee: Average years of primary schooling, age 15+, total",Denmark,1,1
58,"Barro-Lee: Average years of primary schooling, age 15+, total",Finland,1,1
59,"Barro-Lee: Average years of primary schooling, age 15+, total",France,1,1
60,"Barro-Lee: Average years of primary schooling, age 15+, total",Germany,1,1
61,"Barro-Lee: Average years of primary schooling, age 15+, total",Greece,1,1
62,"Barro-Lee: Average years of primary schooling, age 15+, total",Hungary,1,1
63,"Barro-Lee: Average years of primary schooling, age 15+, total",Ireland,1,1
64,"Barro-Lee: Average years of primary schooling, age 15+, total",Italy,1,1
65,"Barro-Lee: Average years of primary schooling, age 15+, total",Netherlands,1,1
66,"Barro-Lee: Average years of primary schooling, age 15+, total",Norway,1,1
67,"Barro-Lee: Average years of primary schooling, age 15+, total",Portugal,1,1
68,"Barro-Lee: Average years of primary schooling, age 15+, total",Spain,1,1
69,"Barro-Lee: Average years of primary schooling, age 15+, total",Sweden,1,1
70,"Barro-Lee: Average years of primary schooling, age 15+, total",Switzerland,1,1
71,"Barro-Lee: Average years of primary schooling, age 15+, total",United Kingdom,1,1
