,Indicator Name,Country Name,Country Code,Value
0,All staff compensation as % of total expenditure in public institutions (%),18,18,18
1,All staff compensation as % of total expenditure in secondary public institutions (%),18,18,18
2,"Barro-Lee: Average years of primary schooling, age 15+, female",18,18,18
3,"Barro-Lee: Average years of primary schooling, age 15+, total",18,18,18
4,"Barro-Lee: Average years of primary schooling, age 15-19, female",18,18,18
5,"Barro-Lee: Average years of primary schooling, age 15-19, total",18,18,18
6,"Barro-Lee: Average years of primary schooling, age 20-24, female",18,18,18
7,"Barro-Lee: Average years of primary schooling, age 20-24, total",18,18,18
8,"Barro-Lee: Average years of primary schooling, age 25+, female",18,18,18
9,"Barro-Lee: Average years of primary schooling, age 25+, total",18,18,18
10,"Barro-Lee: Average years of primary schooling, age 25-29, female",18,18,18
11,"Barro-Lee: Average years of primary schooling, age 25-29, total",18,18,18
12,"Barro-Lee: Average years of primary schooling, age 30-34, female",18,18,18
13,"Barro-Lee: Average years of primary schooling, age 30-34, total",18,18,18
14,"Barro-Lee: Average years of primary schooling, age 35-39, female",18,18,18
15,"Barro-Lee: Average years of primary schooling, age 35-39, total",18,18,18
16,"Barro-Lee: Average years of primary schooling, age 40-44, female",18,18,18
17,"Barro-Lee: Average years of primary schooling, age 40-44, total",18,18,18
18,"Barro-Lee: Average years of primary schooling, age 45-49, female",18,18,18
19,"Barro-Lee: Average years of primary schooling, age 45-49, total",18,18,18
20,"Barro-Lee: Average years of primary schooling, age 50-54, female",18,18,18
21,"Barro-Lee: Average years of primary schooling, age 50-54, total",18,18,18
22,"Barro-Lee: Average years of primary schooling, age 55-59, female",18,18,18
23,"Barro-Lee: Average years of primary schooling, age 55-59, total",18,18,18
24,"Barro-Lee: Average years of primary schooling, age 60-64, female",18,18,18
25,"Barro-Lee: Average years of primary schooling, age 60-64, total",18,18,18
26,"Barro-Lee: Average years of primary schooling, age 65-69, female",18,18,18
27,"Barro-Lee: Average years of primary schooling, age 65-69, total",18,18,18
28,"Barro-Lee: Average years of primary schooling, age 70-74, female",18,18,18
29,"Barro-Lee: Average years of primary schooling, age 70-74, total",18,18,18
30,"Barro-Lee: Average years of primary schooling, age 75+, female",18,18,18
31,"Barro-Lee: Average years of primary schooling, age 75+, total",18,18,18
32,"Barro-Lee: Average years of secondary schooling, age 15+, female",18,18,18
33,"Barro-Lee: Average years of secondary schooling, age 15+, total",18,18,18
34,"Barro-Lee: Average years of secondary schooling, age 15-19, female",18,18,18
35,"Barro-Lee: Average years of secondary schooling, age 15-19, total",18,18,18
36,"Barro-Lee: Average years of secondary schooling, age 20-24, female",18,18,18
37,"Barro-Lee: Average years of secondary schooling, age 20-24, total",18,18,18
38,"Barro-Lee: Average years of secondary schooling, age 25+, female",18,18,18
39,"Barro-Lee: Average years of secondary schooling, age 25+, total",18,18,18
40,"Barro-Lee: Average years of secondary schooling, age 25-29, female",18,18,18
41,"Barro-Lee: Average years of secondary schooling, age 25-29, total",18,18,18
42,"Barro-Lee: Average years of secondary schooling, age 30-34, female",18,18,18
43,"Barro-Lee: Average years of secondary schooling, age 30-34, total",18,18,18
44,"Barro-Lee: Average years of secondary schooling, age 35-39, female",18,18,18
45,"Barro-Lee: Average years of secondary schooling, age 35-39, total",18,18,18
46,"Barro-Lee: Average years of secondary schooling, age 40-44, female",18,18,18
47,"Barro-Lee: Average years of secondary schooling, age 40-44, total",18,18,18
48,"Barro-Lee: Average years of secondary schooling, age 45-49, female",18,18,18
49,"Barro-Lee: Average years of secondary schooling, age 45-49, total",18,18,18
50,"Barro-Lee: Average years of secondary schooling, age 50-54, female",18,18,18
51,"Barro-Lee: Average years of secondary schooling, age 50-54, total",18,18,18
52,"Barro-Lee: Average years of secondary schooling, age 55-59, female",18,18,18
53,"Barro-Lee: Average years of secondary schooling, age 55-59, total",18,18,18
54,"Barro-Lee: Average years of secondary schooling, age 60-64, female",18,18,18
55,"Barro-Lee: Average years of secondary schooling, age 60-64, total",18,18,18
56,"Barro-Lee: Average years of secondary schooling, age 65-69, female",18,18,18
57,"Barro-Lee: Average years of secondary schooling, age 65-69, total",18,18,18
