,unid,wbid,country,year,ses,class,gdppc,yrseduc,region5,regionUN
0,100,BGR,Bulgaria,1880,73.3108139,High(core),985.5,1.919999957,SE Europe,East Europe
1,100,BGR,Bulgaria,1890,72.97297668,High(core),1131.0,2.220000029,SE Europe,East Europe
2,100,BGR,Bulgaria,1900,72.97297668,High(core),1223.0,2.720000029,SE Europe,East Europe
3,100,BGR,Bulgaria,1910,76.6891861,High(core),1456.0,3.039999962,SE Europe,East Europe
4,100,BGR,Bulgaria,1920,64.52702332,Middle(semi-per),1136.272705,3.559999943,SE Europe,East Europe
5,100,BGR,Bulgaria,1930,64.86486816,Middle(semi-per),1284.0,4.159999847,SE Europe,East Europe
6,100,BGR,Bulgaria,1940,67.2297287,High(core),1548.0,4.869999886,SE Europe,East Europe
7,100,BGR,Bulgaria,1950,66.55405426,Middle(semi-per),1651.0,5.570000172,SE Europe,East Europe
8,100,BGR,Bulgaria,1960,72.29729462,High(core),2912.0,6.354800224,SE Europe,East Europe
9,100,BGR,Bulgaria,1970,74.32432556,High(core),4773.0,7.411300182,SE Europe,East Europe
10,100,BGR,Bulgaria,1980,76.01351166,High(core),6044.0,7.808400154,SE Europe,East Europe
11,100,BGR,Bulgaria,1990,70.2702713,High(core),9296.889648,8.790100098,SE Europe,East Europe
12,100,BGR,Bulgaria,2000,64.52702332,Middle(semi-per),8958.050781,9.376199722,SE Europe,East Europe
13,100,BGR,Bulgaria,2010,63.85135269,Middle(semi-per),15283.17969,9.850999832,SE Europe,East Europe
126,208,DNK,Denmark,1880,95.2702713,High(core),2181.0,4.940000057,NW Europe,North Europe
127,208,DNK,Denmark,1890,94.59459686,High(core),2523.0,5.25,NW Europe,North Europe
128,208,DNK,Denmark,1900,94.25675964,High(core),3017.0,5.610000134,NW Europe,North Europe
129,208,DNK,Denmark,1910,92.90540314,High(core),3705.0,5.960000038,NW Europe,North Europe
130,208,DNK,Denmark,1920,93.58107758,High(core),3992.0,6.329999924,NW Europe,North Europe
131,208,DNK,Denmark,1930,93.91892242,High(core),5341.0,6.630000114,NW Europe,North Europe
132,208,DNK,Denmark,1940,92.2297287,High(core),5116.0,7.03000021,NW Europe,North Europe
133,208,DNK,Denmark,1950,92.90540314,High(core),6943.0,7.429999828,NW Europe,North Europe
134,208,DNK,Denmark,1960,94.93243408,High(core),8812.0,7.82310009,NW Europe,North Europe
135,208,DNK,Denmark,1970,95.2702713,High(core),12686.0,8.59829998,NW Europe,North Europe
136,208,DNK,Denmark,1980,94.93243408,High(core),15227.0,8.903800011,NW Europe,North Europe
137,208,DNK,Denmark,1990,90.5405426,High(core),33785.64844,9.416700363,NW Europe,North Europe
138,208,DNK,Denmark,2000,86.82432556,High(core),42337.71484,9.712400436,NW Europe,North Europe
139,208,DNK,Denmark,2010,82.43243408,High(core),43998.4375,10.05659962,NW Europe,North Europe
196,246,FIN,Finland,1880,58.44594574,Middle(semi-per),1155.0,0.560000002,NW Europe,North Europe
197,246,FIN,Finland,1890,58.10810852,Middle(semi-per),1381.0,0.629999995,NW Europe,North Europe
198,246,FIN,Finland,1900,58.78378296,Middle(semi-per),1668.0,0.769999981,NW Europe,North Europe
199,246,FIN,Finland,1910,63.51351166,Middle(semi-per),1906.0,1.070000052,NW Europe,North Europe
200,246,FIN,Finland,1920,63.51351166,Middle(semi-per),1846.0,1.360000014,NW Europe,North Europe
201,246,FIN,Finland,1930,67.56756592,High(core),2666.0,1.870000005,NW Europe,North Europe
202,246,FIN,Finland,1940,73.98648834,High(core),3220.0,3.119999886,NW Europe,North Europe
203,246,FIN,Finland,1950,78.71621704,High(core),4253.0,4.369999886,NW Europe,North Europe
204,246,FIN,Finland,1960,84.12162018,High(core),6230.0,5.668300152,NW Europe,North Europe
205,246,FIN,Finland,1970,83.78378296,High(core),9577.0,6.867499828,NW Europe,North Europe
206,246,FIN,Finland,1980,86.14865112,High(core),12949.0,7.648700237,NW Europe,North Europe
207,246,FIN,Finland,1990,78.0405426,High(core),28905.57031,8.194499969,NW Europe,North Europe
208,246,FIN,Finland,2000,70.60810852,High(core),34887.17969,8.193400383,NW Europe,North Europe
209,246,FIN,Finland,2010,79.39189148,High(core),39848.13281,9.974200249,NW Europe,North Europe
210,250,FRA,France,1880,94.25675964,High(core),2120.0,4.630000114,NW Europe,West Europe
211,250,FRA,France,1890,93.91892242,High(core),2376.0,5.429999828,NW Europe,West Europe
212,250,FRA,France,1900,95.2702713,High(core),2876.0,6.309999943,NW Europe,West Europe
213,250,FRA,France,1910,93.58107758,High(core),2965.0,6.989999771,NW Europe,West Europe
214,250,FRA,France,1920,93.91892242,High(core),3227.0,7.539999962,NW Europe,West Europe
215,250,FRA,France,1930,94.25675964,High(core),4532.0,7.730000019,NW Europe,West Europe
216,250,FRA,France,1940,92.90540314,High(core),4042.0,8.0,NW Europe,West Europe
217,250,FRA,France,1950,93.58107758,High(core),5186.0,8.220000267,NW Europe,West Europe
218,250,FRA,France,1960,76.01351166,High(core),7398.0,4.196400166,NW Europe,West Europe
219,250,FRA,France,1970,76.01351166,High(core),11410.0,4.755700111,NW Europe,West Europe
220,250,FRA,France,1980,78.0405426,High(core),14766.0,5.761300087,NW Europe,West Europe
221,250,FRA,France,1990,74.32432556,High(core),29527.97461,7.474599838,NW Europe,West Europe
222,250,FRA,France,2000,82.09459686,High(core),34896.38672,9.554900169,NW Europe,West Europe
223,250,FRA,France,2010,83.10810852,High(core),36872.22656,10.53289986,NW Europe,West Europe
224,276,DEU,Germany,1880,94.25675964,High(core),1991.0,5.349999905,NW Europe,West Europe
225,276,DEU,Germany,1890,95.94594574,High(core),2428.0,5.739999771,NW Europe,West Europe
226,276,DEU,Germany,1900,95.2702713,High(core),2985.0,6.110000134,NW Europe,West Europe
227,276,DEU,Germany,1910,94.59459686,High(core),3348.0,6.619999886,NW Europe,West Europe
228,276,DEU,Germany,1920,92.90540314,High(core),2796.0,7.090000153,NW Europe,West Europe
229,276,DEU,Germany,1930,92.56756592,High(core),3973.0,7.380000114,NW Europe,West Europe
230,276,DEU,Germany,1940,95.2702713,High(core),5403.0,7.900000095,NW Europe,West Europe
231,276,DEU,Germany,1950,91.89189148,High(core),3881.0,8.170000076,NW Europe,West Europe
232,276,DEU,Germany,1960,83.44594574,High(core),7705.0,5.11950016,NW Europe,West Europe
233,276,DEU,Germany,1970,76.35134888,High(core),10839.0,5.015799999,NW Europe,West Europe
234,276,DEU,Germany,1980,75.0,High(core),14114.0,5.246399879,NW Europe,West Europe
235,276,DEU,Germany,1990,79.7297287,High(core),31287.07031,8.041999817,NW Europe,West Europe
236,276,DEU,Germany,2000,86.48648834,High(core),36764.5625,9.952500343,NW Europe,West Europe
237,276,DEU,Germany,2010,90.5405426,High(core),40428.72266,11.82310009,NW Europe,West Europe
252,300,GRC,Greece,1880,72.29729462,High(core),1029.0,1.75,SE Europe,South Europe
253,300,GRC,Greece,1890,75.33783722,High(core),1178.0,2.069999933,SE Europe,South Europe
254,300,GRC,Greece,1900,73.98648834,High(core),1351.0,2.369999886,SE Europe,South Europe
255,300,GRC,Greece,1910,74.32432556,High(core),1536.384644,2.700000048,SE Europe,South Europe
256,300,GRC,Greece,1920,71.9594574,High(core),1433.0,3.059999943,SE Europe,South Europe
257,300,GRC,Greece,1930,77.70270538,High(core),2258.0,3.890000105,SE Europe,South Europe
258,300,GRC,Greece,1940,75.0,High(core),2223.0,4.25,SE Europe,South Europe
259,300,GRC,Greece,1950,62.83783722,Middle(semi-per),1915.0,4.599999905,SE Europe,South Europe
260,300,GRC,Greece,1960,77.36486816,High(core),3146.0,7.419099808,SE Europe,South Europe
261,300,GRC,Greece,1970,78.37837982,High(core),6211.0,6.516499996,SE Europe,South Europe
262,300,GRC,Greece,1980,76.01351166,High(core),8971.0,6.802499771,SE Europe,South Europe
263,300,GRC,Greece,1990,78.0405426,High(core),20686.13672,8.580599785,SE Europe,South Europe
264,300,GRC,Greece,2000,71.9594574,High(core),24839.07617,8.888899803,SE Europe,South Europe
265,300,GRC,Greece,2010,80.74324036,High(core),28726.08008,10.67669964,SE Europe,South Europe
322,348,HUN,Hungary,1880,81.41892242,High(core),1282.5,2.140000105,SE Europe,East Europe
323,348,HUN,Hungary,1890,82.09459686,High(core),1473.0,2.700000048,SE Europe,East Europe
324,348,HUN,Hungary,1900,82.43243408,High(core),1682.0,3.309999943,SE Europe,East Europe
325,348,HUN,Hungary,1910,83.10810852,High(core),2000.0,3.819999933,SE Europe,East Europe
326,348,HUN,Hungary,1920,78.71621704,High(core),1709.0,4.179999828,SE Europe,East Europe
327,348,HUN,Hungary,1930,79.39189148,High(core),2404.0,4.059999943,SE Europe,East Europe
328,348,HUN,Hungary,1940,79.39189148,High(core),2626.0,4.789999962,SE Europe,East Europe
329,348,HUN,Hungary,1950,75.33783722,High(core),2480.0,5.519999981,SE Europe,East Europe
330,348,HUN,Hungary,1960,80.06756592,High(core),3649.0,7.439499855,SE Europe,East Europe
331,348,HUN,Hungary,1970,77.70270538,High(core),5028.0,8.102100372,SE Europe,East Europe
332,348,HUN,Hungary,1980,78.0405426,High(core),6306.0,8.586999893,SE Europe,East Europe
333,348,HUN,Hungary,1990,65.20270538,Middle(semi-per),6459.0,8.76210022,SE Europe,East Europe
334,348,HUN,Hungary,2000,84.12162018,High(core),17855.04297,11.20059967,SE Europe,East Europe
335,348,HUN,Hungary,2010,82.09459686,High(core),22277.37305,11.65079975,SE Europe,East Europe
406,372,IRL,Ireland,1880,89.52702332,High(core),1998.488403,2.619999886,NW Europe,North Europe
407,372,IRL,Ireland,1890,89.1891861,High(core),2221.976807,3.329999924,NW Europe,North Europe
408,372,IRL,Ireland,1900,89.52702332,High(core),2445.465088,4.21999979,NW Europe,North Europe
409,372,IRL,Ireland,1910,87.16216278,High(core),2668.953369,5.070000172,NW Europe,North Europe
410,372,IRL,Ireland,1920,87.83783722,High(core),2558.375,5.880000114,NW Europe,North Europe
411,372,IRL,Ireland,1930,86.82432556,High(core),2897.0,6.139999866,NW Europe,North Europe
412,372,IRL,Ireland,1940,85.13513184,High(core),3052.0,6.269999981,NW Europe,North Europe
413,372,IRL,Ireland,1950,83.78378296,High(core),3453.0,6.400000095,NW Europe,North Europe
414,372,IRL,Ireland,1960,87.83783722,High(core),4282.0,7.995800018,NW Europe,North Europe
415,372,IRL,Ireland,1970,86.14865112,High(core),6199.0,8.757200241,NW Europe,North Europe
416,372,IRL,Ireland,1980,85.8108139,High(core),8541.0,9.347499847,NW Europe,North Europe
417,372,IRL,Ireland,1990,88.51351166,High(core),22116.97852,10.58170033,NW Europe,North Europe
418,372,IRL,Ireland,2000,90.20270538,High(core),40815.02344,10.87320042,NW Europe,North Europe
419,372,IRL,Ireland,2010,92.56756592,High(core),45661.46875,11.64000034,NW Europe,North Europe
420,380,ITA,Italy,1880,75.33783722,High(core),1581.0,1.330000043,SE Europe,South Europe
421,380,ITA,Italy,1890,77.36486816,High(core),1667.0,1.870000005,SE Europe,South Europe
422,380,ITA,Italy,1900,77.70270538,High(core),1785.0,2.380000114,SE Europe,South Europe
423,380,ITA,Italy,1910,79.7297287,High(core),2332.0,2.839999914,SE Europe,South Europe
424,380,ITA,Italy,1920,81.41892242,High(core),2587.0,3.359999895,SE Europe,South Europe
425,380,ITA,Italy,1930,81.08107758,High(core),2918.0,3.940000057,SE Europe,South Europe
426,380,ITA,Italy,1940,79.39189148,High(core),3505.0,4.239999771,SE Europe,South Europe
427,380,ITA,Italy,1950,77.02702332,High(core),3502.0,4.550000191,SE Europe,South Europe
428,380,ITA,Italy,1960,78.37837982,High(core),5916.0,4.8604002,SE Europe,South Europe
429,380,ITA,Italy,1970,77.02702332,High(core),9719.0,5.636000156,SE Europe,South Europe
430,380,ITA,Italy,1980,77.02702332,High(core),13149.0,6.125800133,SE Europe,South Europe
431,380,ITA,Italy,1990,77.36486816,High(core),31141.90234,7.71780014,SE Europe,South Europe
432,380,ITA,Italy,2000,74.66216278,High(core),36535.82031,8.786399841,SE Europe,South Europe
433,380,ITA,Italy,2010,73.3108139,High(core),36201.16016,9.509599686,SE Europe,South Europe
476,40,AUT,Austria,1880,91.55405426,High(core),2079.0,3.630000114,NW Europe,West Europe
477,40,AUT,Austria,1890,91.89189148,High(core),2443.0,4.099999905,NW Europe,West Europe
478,40,AUT,Austria,1900,91.21621704,High(core),2882.0,4.730000019,NW Europe,West Europe
479,40,AUT,Austria,1910,91.55405426,High(core),3290.0,5.360000134,NW Europe,West Europe
480,40,AUT,Austria,1920,86.48648834,High(core),2412.0,5.929999828,NW Europe,West Europe
481,40,AUT,Austria,1930,88.17567444,High(core),3586.0,5.849999905,NW Europe,West Europe
482,40,AUT,Austria,1940,88.51351166,High(core),3959.0,6.289999962,NW Europe,West Europe
483,40,AUT,Austria,1950,86.82432556,High(core),3706.0,6.940000057,NW Europe,West Europe
484,40,AUT,Austria,1960,73.98648834,High(core),6519.0,4.053100109,NW Europe,West Europe
485,40,AUT,Austria,1970,80.06756592,High(core),9747.0,6.067200184,NW Europe,West Europe
486,40,AUT,Austria,1980,82.09459686,High(core),13759.0,6.649799824,NW Europe,West Europe
487,40,AUT,Austria,1990,78.37837982,High(core),31265.28711,7.899400234,NW Europe,West Europe
