indicator_name,indicator_code
All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS
All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS
"Barro-Lee: Average years of primary schooling, age 15+, female",BAR.PRM.SCHL.15UP.FE
"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP
"Barro-Lee: Average years of primary schooling, age 15-19, female",BAR.PRM.SCHL.1519.FE
"Barro-Lee: Average years of primary schooling, age 15-19, total",BAR.PRM.SCHL.1519
"Barro-Lee: Average years of primary schooling, age 20-24, female",BAR.PRM.SCHL.2024.FE
"Barro-Lee: Average years of primary schooling, age 20-24, total",BAR.PRM.SCHL.2024
"Barro-Lee: Average years of primary schooling, age 25+, female",BAR.PRM.SCHL.25UP.FE
"Barro-Lee: Average years of primary schooling, age 25+, total",BAR.PRM.SCHL.25UP
"Barro-Lee: Average years of primary schooling, age 25-29, female",BAR.PRM.SCHL.2529.FE
"Barro-Lee: Average years of primary schooling, age 25-29, total",BAR.PRM.SCHL.2529
"Barro-Lee: Average years of primary schooling, age 30-34, female",BAR.PRM.SCHL.3034.FE
"Barro-Lee: Average years of primary schooling, age 30-34, total",BAR.PRM.SCHL.3034
"Barro-Lee: Average years of primary schooling, age 35-39, female",BAR.PRM.SCHL.3539.FE
"Barro-Lee: Average years of primary schooling, age 35-39, total",BAR.PRM.SCHL.3539
"Barro-Lee: Average years of primary schooling, age 40-44, female",BAR.PRM.SCHL.4044.FE
"Barro-Lee: Average years of primary schooling, age 40-44, total",BAR.PRM.SCHL.4044
"Barro-Lee: Average years of primary schooling, age 45-49, female",BAR.PRM.SCHL.4549.FE
"Barro-Lee: Average years of primary schooling, age 45-49, total",BAR.PRM.SCHL.4549
"Barro-Lee: Average years of primary schooling, age 50-54, female",BAR.PRM.SCHL.5054.FE
"Barro-Lee: Average years of primary schooling, age 50-54, total",BAR.PRM.SCHL.5054
"Barro-Lee: Average years of primary schooling, age 55-59, female",BAR.PRM.SCHL.5559.FE
"Barro-Lee: Average years of primary schooling, age 55-59, total",BAR.PRM.SCHL.5559
"Barro-Lee: Average years of primary schooling, age 60-64, female",BAR.PRM.SCHL.6064.FE
"Barro-Lee: Average years of primary schooling, age 60-64, total",BAR.PRM.SCHL.6064
"Barro-Lee: Average years of primary schooling, age 65-69, female",BAR.PRM.SCHL.6569.FE
"Barro-Lee: Average years of primary schooling, age 65-69, total",BAR.PRM.SCHL.6569
"Barro-Lee: Average years of primary schooling, age 70-74, female",BAR.PRM.SCHL.7074.FE
"Barro-Lee: Average years of primary schooling, age 70-74, total",BAR.PRM.SCHL.7074
"Barro-Lee: Average years of primary schooling, age 75+, female",BAR.PRM.SCHL.75UP.FE
"Barro-Lee: Average years of primary schooling, age 75+, total",BAR.PRM.SCHL.75UP
"Barro-Lee: Average years of secondary schooling, age 15+, female",BAR.SEC.SCHL.15UP.FE
"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP
"Barro-Lee: Average years of secondary schooling, age 15-19, female",BAR.SEC.SCHL.1519.FE
"Barro-Lee: Average years of secondary schooling, age 15-19, total",BAR.SEC.SCHL.1519
"Barro-Lee: Average years of secondary schooling, age 20-24, female",BAR.SEC.SCHL.2024.FE
"Barro-Lee: Average years of secondary schooling, age 20-24, total",BAR.SEC.SCHL.2024
"Barro-Lee: Average years of secondary schooling, age 25+, female",BAR.SEC.SCHL.25UP.FE
"Barro-Lee: Average years of secondary schooling, age 25+, total",BAR.SEC.SCHL.25UP
"Barro-Lee: Average years of secondary schooling, age 25-29, female",BAR.SEC.SCHL.2529.FE
"Barro-Lee: Average years of secondary schooling, age 25-29, total",BAR.SEC.SCHL.2529
"Barro-Lee: Average years of secondary schooling, age 30-34, female",BAR.SEC.SCHL.3034.FE
"Barro-Lee: Average years of secondary schooling, age 30-34, total",BAR.SEC.SCHL.3034
"Barro-Lee: Average years of secondary schooling, age 35-39, female",BAR.SEC.SCHL.3539.FE
"Barro-Lee: Average years of secondary schooling, age 35-39, total",BAR.SEC.SCHL.3539
"Barro-Lee: Average years of secondary schooling, age 40-44, female",BAR.SEC.SCHL.4044.FE
"Barro-Lee: Average years of secondary schooling, age 40-44, total",BAR.SEC.SCHL.4044
"Barro-Lee: Average years of secondary schooling, age 45-49, female",BAR.SEC.SCHL.4549.FE
"Barro-Lee: Average years of secondary schooling, age 45-49, total",BAR.SEC.SCHL.4549
"Barro-Lee: Average years of secondary schooling, age 50-54, female",BAR.SEC.SCHL.5054.FE
"Barro-Lee: Average years of secondary schooling, age 50-54, total",BAR.SEC.SCHL.5054
"Barro-Lee: Average years of secondary schooling, age 55-59, female",BAR.SEC.SCHL.5559.FE
"Barro-Lee: Average years of secondary schooling, age 55-59, total",BAR.SEC.SCHL.5559
