unid,country_code,country_name,year,ses,socioeconomic_class,gdppc,yrseduc,region5,regionUN,socioeconomic_id
100,BGR,Bulgaria,2000,64.52702332,Middle(semi-per),8958.050781,9.376199722,SE Europe,East Europe,07b25577-f258-4a9a-b137-7e8df137c0c1
100,BGR,Bulgaria,2010,63.85135269,Middle(semi-per),15283.17969,9.850999832,SE Europe,East Europe,18715a9d-a859-4515-8137-6b28df1af02d
208,DNK,Denmark,2000,86.82432556,High(core),42337.71484,9.712400436,NW Europe,North Europe,6e2a204f-91a5-41dc-8117-1171251ec999
208,DNK,Denmark,2010,82.43243408,High(core),43998.4375,10.05659962,NW Europe,North Europe,5365657f-b74d-46fe-9f9d-1ea147449050
246,FIN,Finland,2000,70.60810852,High(core),34887.17969,8.193400383,NW Europe,North Europe,886ab3a4-5552-4b7f-b15c-28555c7dbaaf
246,FIN,Finland,2010,79.39189148,High(core),39848.13281,9.974200249,NW Europe,North Europe,0596e12d-b772-4a3e-946d-f5f44821b805
250,FRA,France,2000,82.09459686,High(core),34896.38672,9.554900169,NW Europe,West Europe,f1975f9b-a159-4805-bc89-9e4bef4516d4
250,FRA,France,2010,83.10810852,High(core),36872.22656,10.53289986,NW Europe,West Europe,9ae3fbeb-e680-4584-b075-a10a22910ee4
276,DEU,Germany,2000,86.48648834,High(core),36764.5625,9.952500343,NW Europe,West Europe,2f46268f-631c-4db5-b1f0-0cd7e5af9caa
276,DEU,Germany,2010,90.5405426,High(core),40428.72266,11.82310009,NW Europe,West Europe,6abe3f9c-1315-4ca2-8ed8-033b3c7ffa2a
300,GRC,Greece,2000,71.9594574,High(core),24839.07617,8.888899803,SE Europe,South Europe,13f69a1a-d189-40f9-960f-2b17e4e4e867
300,GRC,Greece,2010,80.74324036,High(core),28726.08008,10.67669964,SE Europe,South Europe,6d2e8450-783c-436f-974b-9a1b0a7ec867
348,HUN,Hungary,2000,84.12162018,High(core),17855.04297,11.20059967,SE Europe,East Europe,7b081cdb-142a-4c85-ae32-c26b2a437a92
348,HUN,Hungary,2010,82.09459686,High(core),22277.37305,11.65079975,SE Europe,East Europe,0ec88e1e-2480-41e4-ac4f-8bcdc239fc2e
372,IRL,Ireland,2000,90.20270538,High(core),40815.02344,10.87320042,NW Europe,North Europe,5dcee9ed-8121-4698-acee-2450f2599277
372,IRL,Ireland,2010,92.56756592,High(core),45661.46875,11.64000034,NW Europe,North Europe,d52301ef-3cba-489d-b519-5463c3505240
380,ITA,Italy,2000,74.66216278,High(core),36535.82031,8.786399841,SE Europe,South Europe,e2ec4b21-c8ea-4713-b3aa-8a4da31561c7
380,ITA,Italy,2010,73.3108139,High(core),36201.16016,9.509599686,SE Europe,South Europe,2d944d8d-333c-4b0e-a909-8b28e88ade3f
40,AUT,Austria,2000,79.05405426,High(core),38812.05078,8.947299957,NW Europe,West Europe,7751ce5d-af78-4337-822d-9831010e1656
40,AUT,Austria,2010,77.36486816,High(core),43174.97656,9.535300255,NW Europe,West Europe,e752a23e-666b-4dee-8051-680558405c54
528,NLD,Netherlands,2000,90.20270538,High(core),41721.69531,10.72850037,NW Europe,West Europe,570465e7-c9da-454a-84c0-00db45fbc155
528,NLD,Netherlands,2010,89.52702332,High(core),45524.66406,11.02260017,NW Europe,West Europe,eb91a7dd-5821-4292-a6ed-14aa3797b620
56,BEL,Belgium,2000,87.5,High(core),37253.46875,10.16040039,NW Europe,West Europe,010c7eb7-7d54-4ead-9daa-7462e8a836c9
56,BEL,Belgium,2010,85.47297668,High(core),41086.5625,10.54529953,NW Europe,West Europe,e8f4ef88-49a4-4837-8b59-b4ec76a1f843
578,NOR,Norway,2000,96.28378296,High(core),58066.58594,11.29049969,NW Europe,North Europe,b7ab6674-b142-4f3c-8d6b-0c81c87b6d2e
578,NOR,Norway,2010,97.29729462,High(core),62268.01172,12.29650021,NW Europe,North Europe,2971b393-66b6-4416-985d-9d84ee23d5fd
620,PRT,Portugal,2000,64.1891861,Middle(semi-per),25999.49023,7.343500137,SE Europe,South Europe,f3d8c714-10de-4b28-a5ef-0c867cb460a1
620,PRT,Portugal,2010,59.12162018,Middle(semi-per),27238.46094,7.992899895,SE Europe,South Europe,10bce413-7858-48bf-91f0-e178b557dd0a
724,ESP,Spain,2000,77.70270538,High(core),29967.16602,9.339599609,SE Europe,South Europe,01d67d1d-e8d4-4dea-adc3-37c208dadf40
724,ESP,Spain,2010,80.40540314,High(core),32506.43359,10.38210011,SE Europe,South Europe,163fa500-dc29-4521-8552-691b4a0aeda9
752,SWE,Sweden,2000,90.5405426,High(core),36854.86719,11.06709957,NW Europe,North Europe,592862ee-af33-4d53-a53a-cb011d8d3998
752,SWE,Sweden,2010,90.20270538,High(core),42942.5625,11.56719971,NW Europe,North Europe,4741f45c-b690-4ef9-9ba1-e30a53ed5668
756,CHE,Switzerland,2000,86.82432556,High(core),50314.07422,9.548500061,NW Europe,West Europe,0c5d9cb6-2be4-4cf4-9e32-0070e2a2d62f
756,CHE,Switzerland,2010,83.10810852,High(core),55541.67188,9.876299858,NW Europe,West Europe,e0cd4424-dd34-4845-95ef-0d7c461b31d5
826,GBR,United Kingdom,2000,74.32432556,High(core),32961.52734,8.930100441,NW Europe,North Europe,3a805651-aa3d-436d-9ae9-658b279b1d6f
826,GBR,United Kingdom,2010,75.67567444,High(core),36195.86719,9.754400253,NW Europe,North Europe,8a48d4cb-df8f-4ab9-b5d2-0011d6d76c5e
